Year,Month,Day,Hour,Minute,Second,KUM_META.ws
2020,01,07,13,00,00,4.33833
2020,01,07,14,00,00,4.67833
2020,01,07,15,00,00,5.11833
2020,01,07,16,00,00,5.32667
2020,01,07,17,00,00,4.725
2020,01,07,18,00,00,4.93333
2020,01,07,19,00,00,4.95
2020,01,07,20,00,00,5.67167
2020,01,07,21,00,00,5.36833
2020,01,07,22,00,00,6.29333
2020,01,07,23,00,00,6.365
2020,01,08,00,00,00,6.42333
2020,01,08,01,00,00,7.33833
2020,01,08,02,00,00,7.50833
2020,01,08,03,00,00,7.95833
2020,01,08,04,00,00,8.43
2020,01,08,05,00,00,8.04167
2020,01,08,06,00,00,7.695
2020,01,08,07,00,00,8.28333
2020,01,08,08,00,00,8.865
2020,01,08,09,00,00,9.125
2020,01,08,10,00,00,9.24833
2020,01,08,11,00,00,9.525
2020,01,08,12,00,00,8.34667
2020,01,08,13,00,00,8.12833
2020,01,08,14,00,00,7.80833
2020,01,08,15,00,00,8.425
2020,01,08,16,00,00,8.31833
2020,01,08,17,00,00,8.36833
2020,01,08,18,00,00,5.33167
2020,01,08,19,00,00,6.17833
2020,01,08,20,00,00,5.43333
2020,01,08,21,00,00,4.58667
2020,01,08,22,00,00,3.31333
2020,01,08,23,00,00,3.70333
2020,01,09,00,00,00,4.735
2020,01,09,01,00,00,4.07667
2020,01,09,02,00,00,4.185
2020,01,09,03,00,00,4.27
2020,01,09,04,00,00,3.555
2020,01,09,05,00,00,4.01167
2020,01,09,06,00,00,4.68333
2020,01,09,07,00,00,5.22
2020,01,09,08,00,00,4.79
2020,01,09,09,00,00,5.14333
2020,01,09,10,00,00,5.135
2020,01,09,11,00,00,5.405
2020,01,09,12,00,00,5.02333
2020,01,09,13,00,00,4.39
2020,01,09,14,00,00,5.10833
2020,01,09,15,00,00,3.975
2020,01,09,16,00,00,3.61333
2020,01,09,17,00,00,3.825
2020,01,09,18,00,00,3.42167
2020,01,09,19,00,00,3.315
2020,01,09,20,00,00,3.01833
2020,01,09,21,00,00,2.815
2020,01,09,22,00,00,2.66333
2020,01,09,23,00,00,3.06167
2020,01,10,00,00,00,2.45167
2020,01,10,01,00,00,2.48667
2020,01,10,02,00,00,2.15833
2020,01,10,03,00,00,1.335
2020,01,10,04,00,00,1.665
2020,01,10,05,00,00,1.61833
2020,01,10,06,00,00,1.55
2020,01,10,07,00,00,0.94167
2020,01,10,08,00,00,0.76667
2020,01,10,09,00,00,0.69167
2020,01,10,10,00,00,1.52
2020,01,10,11,00,00,0.80167
2020,01,10,12,00,00,1.325
2020,01,10,13,00,00,1.75167
2020,01,10,14,00,00,1.83
2020,01,10,15,00,00,1.83167
2020,01,10,16,00,00,1.35667
2020,01,10,17,00,00,1.74667
2020,01,10,18,00,00,1.62833
2020,01,10,19,00,00,1.4
2020,01,10,20,00,00,1.375
2020,01,10,21,00,00,1.88667
2020,01,10,22,00,00,1.625
2020,01,10,23,00,00,2.325
2020,01,11,00,00,00,2.24667
2020,01,11,01,00,00,2.79667
2020,01,11,02,00,00,2.795
2020,01,11,03,00,00,2.925
2020,01,11,04,00,00,3.32167
2020,01,11,05,00,00,2.91167
2020,01,11,06,00,00,3.31167
2020,01,11,07,00,00,3
2020,01,11,08,00,00,3.09167
2020,01,11,09,00,00,2.79
2020,01,11,10,00,00,2.865
2020,01,11,11,00,00,3.25667
2020,01,11,12,00,00,4.545
2020,01,11,13,00,00,4.095
2020,01,11,14,00,00,3.53667
2020,01,11,15,00,00,4.29667
2020,01,11,16,00,00,5.52
2020,01,11,17,00,00,6.54833
2020,01,11,18,00,00,7.39833
2020,01,11,19,00,00,7.72333
2020,01,11,20,00,00,8.65833
2020,01,11,21,00,00,10.38667
2020,01,11,22,00,00,10.41333
2020,01,11,23,00,00,9.96667
2020,01,12,00,00,00,9.35
2020,01,12,01,00,00,9.12667
2020,01,12,02,00,00,9.27167
2020,01,12,03,00,00,8.36167
2020,01,12,04,00,00,8.135
2020,01,12,05,00,00,8.29333
2020,01,12,06,00,00,7.08
2020,01,12,07,00,00,6.29333
2020,01,12,08,00,00,5.97
2020,01,12,09,00,00,4.7
2020,01,12,10,00,00,5.16167
2020,01,12,11,00,00,4.81333
2020,01,12,12,00,00,4.82667
2020,01,12,13,00,00,5.03667
2020,01,12,14,00,00,4.84
2020,01,12,15,00,00,4.1
2020,01,12,16,00,00,3.68
2020,01,12,17,00,00,2.67167
2020,01,12,18,00,00,3.48
2020,01,12,19,00,00,3.975
2020,01,12,20,00,00,3.865
2020,01,12,21,00,00,4.06833
2020,01,12,22,00,00,5.15833
2020,01,12,23,00,00,5.035
2020,01,13,00,00,00,4.72
2020,01,13,01,00,00,4.33
2020,01,13,02,00,00,3.67333
2020,01,13,03,00,00,2.14833
2020,01,13,04,00,00,2.31667
2020,01,13,05,00,00,2.81
2020,01,13,06,00,00,3.64833
2020,01,13,07,00,00,3.865
2020,01,13,08,00,00,3.485
2020,01,13,09,00,00,4.05667
2020,01,13,10,00,00,4.71667
2020,01,13,11,00,00,4.37333
2020,01,13,12,00,00,3.99333
2020,01,13,13,00,00,3.86667
2020,01,13,14,00,00,3.74167
2020,01,13,15,00,00,3.48167
2020,01,13,16,00,00,3.52167
2020,01,13,17,00,00,3.915
2020,01,13,18,00,00,4.49667
2020,01,13,19,00,00,3.82333
2020,01,13,20,00,00,4.32833
2020,01,13,21,00,00,3.99333
2020,01,13,22,00,00,3.72667
2020,01,13,23,00,00,4.89167
2020,01,14,00,00,00,4.57333
2020,01,14,01,00,00,4.245
2020,01,14,02,00,00,4.63833
2020,01,14,03,00,00,5.05333
2020,01,14,04,00,00,4.57167
2020,01,14,05,00,00,3.97
2020,01,14,06,00,00,3.52
2020,01,14,07,00,00,3.62
2020,01,14,08,00,00,5.245
2020,01,14,09,00,00,3.26
2020,01,14,10,00,00,5.11333
2020,01,14,11,00,00,6.12833
2020,01,14,12,00,00,5.64
2020,01,14,13,00,00,6.60667
2020,01,14,14,00,00,5.18167
2020,01,14,15,00,00,6.28
2020,01,14,16,00,00,6.47667
2020,01,14,17,00,00,7.63333
2020,01,14,18,00,00,7.455
2020,01,14,19,00,00,7.58833
2020,01,14,20,00,00,7.48333
2020,01,14,21,00,00,7.835
2020,01,14,22,00,00,7.59667
2020,01,14,23,00,00,6.98
2020,01,15,00,00,00,6.79333
2020,01,15,01,00,00,4.85667
2020,01,15,02,00,00,4.94167
2020,01,15,03,00,00,5.30333
2020,01,15,04,00,00,6.13
2020,01,15,05,00,00,6.56167
2020,01,15,06,00,00,5.79
2020,01,15,07,00,00,5.44667
2020,01,15,08,00,00,6.79167
2020,01,15,09,00,00,7.13167
2020,01,15,10,00,00,8.18167
2020,01,15,11,00,00,8.16
2020,01,15,12,00,00,7.14333
2020,01,15,13,00,00,8.07167
2020,01,15,14,00,00,7.88667
2020,01,15,15,00,00,7.04333
2020,01,15,16,00,00,6.835
2020,01,15,17,00,00,6.74667
2020,01,15,18,00,00,5.36667
2020,01,15,19,00,00,5.77
2020,01,15,20,00,00,4.82833
2020,01,15,21,00,00,4.16167
2020,01,15,22,00,00,3.61167
2020,01,15,23,00,00,3.31333
2020,01,16,00,00,00,3.84667
2020,01,16,01,00,00,3.65
2020,01,16,02,00,00,3.32
2020,01,16,03,00,00,5.415
2020,01,16,04,00,00,5.30167
2020,01,16,05,00,00,4.80667
2020,01,16,06,00,00,4.45333
2020,01,16,07,00,00,4.33333
2020,01,16,08,00,00,4.07833
2020,01,16,09,00,00,4.535
2020,01,16,10,00,00,3.80833
2020,01,16,11,00,00,3.54667
2020,01,16,12,00,00,3.315
2020,01,16,13,00,00,4.38667
2020,01,16,14,00,00,3.90667
2020,01,16,15,00,00,4.47667
2020,01,16,16,00,00,4.42167
2020,01,16,17,00,00,3.70333
2020,01,16,18,00,00,3.77333
2020,01,16,19,00,00,4.51667
2020,01,16,20,00,00,4.33333
2020,01,16,21,00,00,4.59667
2020,01,16,22,00,00,4.715
2020,01,16,23,00,00,3.98667
2020,01,17,00,00,00,3.61333
